;01_R110_3_2_1_1;01_R110_3_4_1_1;01_R110_3_6_1_1;01_R110_3_8_1_1;01_R110_3_10_1_1;01_R110_3_12_1_1;01_R110_3_14_1_1;01_R110_3_16_1_1;01_R110_3_18_1_1;01_R110_3_20_1_1
2.0000000000e-07;9.9216265300e-01;9.9292659408e-01;9.9087663287e-01;9.9287566375e-01;9.9289356722e-01;9.9386347680e-01;9.9282309588e-01;9.9233728798e-01;9.9398445360e-01;9.9320612049e-01
4.0000000000e-07;1.0873841194e+00;1.0877489739e+00;1.0885740799e+00;1.0892967284e+00;1.0882057445e+00;1.0866257215e+00;1.0898735421e+00;1.0872953763e+00;1.0904487575e+00;1.0892408950e+00
6.0000000000e-07;1.0849740091e+00;1.0874140137e+00;1.0854097186e+00;1.0865922047e+00;1.0879808642e+00;1.0872188431e+00;1.0868675612e+00;1.0873045425e+00;1.0891754350e+00;1.0862566763e+00
8.0000000000e-07;1.0848239876e+00;1.0858742986e+00;1.0859767383e+00;1.0840839322e+00;1.0861607124e+00;1.0873601114e+00;1.0848383244e+00;1.0841256759e+00;1.0852605240e+00;1.0846427940e+00
1.0000000000e-06;1.0835507993e+00;1.0860871506e+00;1.0846976530e+00;1.0865161178e+00;1.0859035481e+00;1.0843260723e+00;1.0868155466e+00;1.0861551889e+00;1.0854115312e+00;1.0874510699e+00
1.2000000000e-06;1.0807478760e+00;1.0817932473e+00;1.0832867097e+00;1.0822327643e+00;1.0836303080e+00;1.0829536877e+00;1.0840131404e+00;1.0829184009e+00;1.0830411610e+00;1.0838712759e+00
1.4000000000e-06;1.0799537278e+00;1.0814507235e+00;1.0820501513e+00;1.0833474209e+00;1.0834566366e+00;1.0831622294e+00;1.0832907508e+00;1.0829183949e+00;1.0856427021e+00;1.0831797719e+00
1.6000000000e-06;1.0824351498e+00;1.0821000965e+00;1.0817786271e+00;1.0815668212e+00;1.0819282391e+00;1.0819513010e+00;1.0820313780e+00;1.0818019830e+00;1.0818902446e+00;1.0848588783e+00
1.8000000000e-06;1.0779790894e+00;1.0797413643e+00;1.0797231524e+00;1.0791566742e+00;1.0824213979e+00;1.0787726239e+00;1.0802079767e+00;1.0793068155e+00;1.0807107333e+00;1.0803361325e+00
2.0000000000e-06;1.0806957734e+00;1.0808207753e+00;1.0819596271e+00;1.0798633929e+00;1.0814941494e+00;1.0809119999e+00;1.0808003478e+00;1.0813681285e+00;1.0819486654e+00;1.0816116831e+00
2.2000000000e-06;1.0768187354e+00;1.0771568019e+00;1.0788595164e+00;1.0772945660e+00;1.0791340765e+00;1.0783701782e+00;1.0784150062e+00;1.0777792693e+00;1.0777077027e+00;1.0797098585e+00
2.4000000000e-06;1.0762374939e+00;1.0786327555e+00;1.0773972379e+00;1.0776484736e+00;1.0803731056e+00;1.0792762073e+00;1.0778306227e+00;1.0784379768e+00;1.0771242362e+00;1.0784778155e+00
2.6000000000e-06;1.0758776754e+00;1.0761973079e+00;1.0771093572e+00;1.0782813225e+00;1.0779774090e+00;1.0767388705e+00;1.0775841696e+00;1.0776225288e+00;1.0778884489e+00;1.0765610455e+00
2.8000000000e-06;1.0743383535e+00;1.0762772586e+00;1.0764125636e+00;1.0775922322e+00;1.0784350298e+00;1.0749572388e+00;1.0753559662e+00;1.0760779529e+00;1.0756735812e+00;1.0755506522e+00
3.0000000000e-06;1.0763312384e+00;1.0771384091e+00;1.0761530342e+00;1.0769185773e+00;1.0783882677e+00;1.0756153914e+00;1.0784094158e+00;1.0777190522e+00;1.0761105984e+00;1.0764581658e+00
3.2000000000e-06;1.0728725621e+00;1.0746889149e+00;1.0742230441e+00;1.0740189047e+00;1.0737338089e+00;1.0743461593e+00;1.0757957149e+00;1.0750966847e+00;1.0760476701e+00;1.0737538881e+00
