;02_FL100_1_1_1_1;02_FL100_1_2_1_1;02_FL100_1_3_1_1;02_FL100_1_4_1_1;02_FL100_1_5_1_1;02_FL100_1_6_1_1;02_FL100_1_7_1_1;02_FL100_1_8_1_1;02_FL100_1_9_1_1;02_FL100_1_10_1_1;02_FL100_1_11_1_1;02_FL100_1_12_1_1;02_FL100_1_13_1_1;02_FL100_1_14_1_1;02_FL100_1_15_1_1;02_FL100_1_16_1_1;02_FL100_1_17_1_1;02_FL100_1_18_1_1;02_FL100_1_19_1_1;02_FL100_1_20_1_1
2.0000000000e-07;9.6005780146e-01;9.6721218786e-01;9.7020995698e-01;9.6938312922e-01;9.7501008977e-01;9.7074179196e-01;9.7069496224e-01;9.7194051965e-01;9.7613489292e-01;9.6191345715e-01;9.5877051999e-01;9.6817772913e-01;9.7304185632e-01;9.7068341905e-01;9.6672667404e-01;9.6985868404e-01;9.7293257283e-01;9.9559829597e-01;9.9278192875e-01;9.8062567987e-01
4.0000000000e-07;1.0509102305e+00;1.0604925495e+00;1.0614412586e+00;1.0623641673e+00;1.0690890422e+00;1.0641234842e+00;1.0632856956e+00;1.0657370692e+00;1.0684417927e+00;1.0543477142e+00;1.0493132574e+00;1.0581660707e+00;1.0662730152e+00;1.0641555895e+00;1.0595436678e+00;1.0624309970e+00;1.0656647835e+00;1.0890522838e+00;1.0871671831e+00;1.0734338416e+00
6.0000000000e-07;1.0508920929e+00;1.0589061488e+00;1.0617960978e+00;1.0610977449e+00;1.0673342413e+00;1.0644190596e+00;1.0615884215e+00;1.0627884732e+00;1.0673928038e+00;1.0540723101e+00;1.0489128003e+00;1.0586116862e+00;1.0665977952e+00;1.0643457176e+00;1.0569343612e+00;1.0612253881e+00;1.0640528730e+00;1.0919698781e+00;1.0875927492e+00;1.0725665874e+00
8.0000000000e-07;1.0497839855e+00;1.0598324170e+00;1.0603653549e+00;1.0577357149e+00;1.0665316780e+00;1.0609210184e+00;1.0624851578e+00;1.0621316765e+00;1.0667870593e+00;1.0551258228e+00;1.0481679142e+00;1.0583932578e+00;1.0640826301e+00;1.0624632919e+00;1.0565245970e+00;1.0619703781e+00;1.0638624101e+00;1.0877396982e+00;1.0866406776e+00;1.0712338573e+00
1.0000000000e-06;1.0514102171e+00;1.0605207598e+00;1.0617430952e+00;1.0610977326e+00;1.0686858648e+00;1.0645342090e+00;1.0640679213e+00;1.0641271244e+00;1.0681767617e+00;1.0541579235e+00;1.0479382885e+00;1.0564575248e+00;1.0657317664e+00;1.0653171023e+00;1.0577554685e+00;1.0634376830e+00;1.0652270399e+00;1.0898291376e+00;1.0867008597e+00;1.0731998240e+00
1.2000000000e-06;1.0494492414e+00;1.0604072396e+00;1.0606558426e+00;1.0602386323e+00;1.0646497555e+00;1.0589681359e+00;1.0627314610e+00;1.0612695686e+00;1.0662747670e+00;1.0540397732e+00;1.0468641888e+00;1.0581464056e+00;1.0653605762e+00;1.0617297757e+00;1.0555334673e+00;1.0596751842e+00;1.0635296397e+00;1.0903412709e+00;1.0850229470e+00;1.0726447791e+00
1.4000000000e-06;1.0498656254e+00;1.0588934104e+00;1.0603445977e+00;1.0602636797e+00;1.0662089819e+00;1.0603510292e+00;1.0612814646e+00;1.0610772631e+00;1.0673882017e+00;1.0541790955e+00;1.0485268486e+00;1.0568904719e+00;1.0650589829e+00;1.0631851398e+00;1.0547708782e+00;1.0589607145e+00;1.0629297406e+00;1.0884604176e+00;1.0850515151e+00;1.0725798082e+00
1.6000000000e-06;1.0497101084e+00;1.0583231098e+00;1.0616494764e+00;1.0583563714e+00;1.0653207424e+00;1.0611082109e+00;1.0618529874e+00;1.0623964118e+00;1.0661128565e+00;1.0544716709e+00;1.0476318798e+00;1.0575220629e+00;1.0635790734e+00;1.0594743611e+00;1.0558261392e+00;1.0595853187e+00;1.0647726570e+00;1.0879635861e+00;1.0856753395e+00;1.0716318210e+00
1.8000000000e-06;1.0482951636e+00;1.0582068652e+00;1.0585362930e+00;1.0578157665e+00;1.0651906121e+00;1.0594393205e+00;1.0588174143e+00;1.0592815278e+00;1.0654939445e+00;1.0522505567e+00;1.0466144934e+00;1.0583902057e+00;1.0648569459e+00;1.0590012719e+00;1.0541333753e+00;1.0597022088e+00;1.0631063839e+00;1.0867148315e+00;1.0834891088e+00;1.0714325054e+00
2.0000000000e-06;1.0491096710e+00;1.0605243613e+00;1.0600853843e+00;1.0601457399e+00;1.0661661606e+00;1.0612617474e+00;1.0627248603e+00;1.0616504266e+00;1.0682680571e+00;1.0527214970e+00;1.0484341521e+00;1.0564061981e+00;1.0642547322e+00;1.0623624846e+00;1.0568774573e+00;1.0617382931e+00;1.0624383988e+00;1.0882658645e+00;1.0852333404e+00;1.0736444553e+00
