;02_FL100_2_1_1_1;02_FL100_2_2_1_1;02_FL100_2_3_1_1;02_FL100_2_4_1_1;02_FL100_2_5_1_1;02_FL100_2_6_1_1;02_FL100_2_7_1_1;02_FL100_2_8_1_1;02_FL100_2_9_1_1;02_FL100_2_10_1_1;02_FL100_2_11_1_1;02_FL100_2_12_1_1;02_FL100_2_13_1_1;02_FL100_2_14_1_1;02_FL100_2_15_1_1;02_FL100_2_16_1_1;02_FL100_2_17_1_1;02_FL100_2_18_1_1
2.0000000000e-07;9.5291569997e-01;9.5191060731e-01;9.4534251163e-01;9.4773501096e-01;9.5540123842e-01;9.5687192131e-01;9.6394558612e-01;9.5881064914e-01;9.6608408096e-01;9.4032197084e-01;9.5422866083e-01;9.5773575641e-01;9.6448051624e-01;9.6431452346e-01;9.5412011779e-01;9.5683055586e-01;9.6461736202e-01;9.6373172555e-01
4.0000000000e-07;1.0446803092e+00;1.0413281134e+00;1.0325325916e+00;1.0387014027e+00;1.0461617479e+00;1.0468375601e+00;1.0553892322e+00;1.0486876939e+00;1.0583497818e+00;1.0286302333e+00;1.0439807882e+00;1.0493363072e+00;1.0558253744e+00;1.0564401057e+00;1.0439449288e+00;1.0485118213e+00;1.0550968536e+00;1.0556982755e+00
6.0000000000e-07;1.0433818579e+00;1.0413652537e+00;1.0333225923e+00;1.0374714307e+00;1.0463605505e+00;1.0461883704e+00;1.0545429243e+00;1.0469875631e+00;1.0585301723e+00;1.0288152132e+00;1.0430962389e+00;1.0466032756e+00;1.0558491391e+00;1.0554978276e+00;1.0430391936e+00;1.0484706996e+00;1.0536337746e+00;1.0540870019e+00
8.0000000000e-07;1.0426726889e+00;1.0400796728e+00;1.0313754075e+00;1.0369014988e+00;1.0452276970e+00;1.0443103695e+00;1.0541497973e+00;1.0455343952e+00;1.0568197178e+00;1.0280441674e+00;1.0418154080e+00;1.0467756601e+00;1.0549687528e+00;1.0535042418e+00;1.0428743590e+00;1.0454439808e+00;1.0540049130e+00;1.0528082407e+00
1.0000000000e-06;1.0442377279e+00;1.0414827622e+00;1.0337916550e+00;1.0386889864e+00;1.0466860901e+00;1.0459992161e+00;1.0548583791e+00;1.0482616193e+00;1.0577228017e+00;1.0291916016e+00;1.0440800423e+00;1.0486499962e+00;1.0560894698e+00;1.0547112362e+00;1.0436670722e+00;1.0479165342e+00;1.0541207593e+00;1.0551702197e+00
1.2000000000e-06;1.0425834438e+00;1.0389798763e+00;1.0311893970e+00;1.0367007169e+00;1.0432590543e+00;1.0451102435e+00;1.0530383692e+00;1.0455724571e+00;1.0554185875e+00;1.0279083229e+00;1.0424872104e+00;1.0466475232e+00;1.0553677757e+00;1.0540144153e+00;1.0416466786e+00;1.0465091493e+00;1.0538300810e+00;1.0528528851e+00
1.4000000000e-06;1.0430505213e+00;1.0406203454e+00;1.0322744497e+00;1.0353670647e+00;1.0462981577e+00;1.0452316541e+00;1.0538525113e+00;1.0461397811e+00;1.0567151133e+00;1.0280952287e+00;1.0413299642e+00;1.0469392737e+00;1.0542569234e+00;1.0545012664e+00;1.0431830486e+00;1.0472497845e+00;1.0532584427e+00;1.0534008305e+00
1.6000000000e-06;1.0433761557e+00;1.0398618451e+00;1.0316773601e+00;1.0373657835e+00;1.0442586047e+00;1.0439174176e+00;1.0536146913e+00;1.0448968737e+00;1.0559448243e+00;1.0295976265e+00;1.0430995007e+00;1.0471011466e+00;1.0547363523e+00;1.0545321959e+00;1.0429763179e+00;1.0470402584e+00;1.0511787069e+00;1.0530906401e+00
1.8000000000e-06;1.0415260235e+00;1.0396510065e+00;1.0304204722e+00;1.0355454029e+00;1.0442768453e+00;1.0445489641e+00;1.0515313875e+00;1.0448844900e+00;1.0556001327e+00;1.0285736288e+00;1.0401699270e+00;1.0459248882e+00;1.0533884492e+00;1.0529514246e+00;1.0406031747e+00;1.0456845684e+00;1.0526140243e+00;1.0527943297e+00
2.0000000000e-06;1.0440256862e+00;1.0399110266e+00;1.0328925620e+00;1.0367420983e+00;1.0450211602e+00;1.0465874180e+00;1.0543250869e+00;1.0476259578e+00;1.0570383800e+00;1.0286003131e+00;1.0428977004e+00;1.0472966505e+00;1.0536775132e+00;1.0557437484e+00;1.0432569595e+00;1.0476727480e+00;1.0523143275e+00;1.0538540184e+00
2.2000000000e-06;1.0403868479e+00;1.0385305712e+00;1.0295772405e+00;1.0347588106e+00;1.0428433475e+00;1.0434299644e+00;1.0520670627e+00;1.0455289446e+00;1.0540136858e+00;1.0281046334e+00;1.0417574724e+00;1.0454802334e+00;1.0516349197e+00;1.0532125908e+00;1.0404730634e+00;1.0447198115e+00;1.0526445359e+00;1.0524974725e+00
2.4000000000e-06;1.0413950530e+00;1.0398583059e+00;1.0310132407e+00;1.0364177660e+00;1.0440264969e+00;1.0437850565e+00;1.0523770638e+00;1.0455065437e+00;1.0548747141e+00;1.0274190894e+00;1.0425257178e+00;1.0465403257e+00;1.0532988780e+00;1.0524817913e+00;1.0423324750e+00;1.0464134242e+00;1.0510912721e+00;1.0522283182e+00
2.6000000000e-06;1.0422543441e+00;1.0382273617e+00;1.0320158186e+00;1.0369094700e+00;1.0433276918e+00;1.0438320306e+00;1.0527313516e+00;1.0455221533e+00;1.0555420649e+00;1.0283027895e+00;1.0420933673e+00;1.0470049338e+00;1.0532580464e+00;1.0542557718e+00;1.0418787774e+00;1.0457645822e+00;1.0530663102e+00;1.0527647977e+00
2.8000000000e-06;1.0416233365e+00;1.0391450351e+00;1.0301038574e+00;1.0360162148e+00;1.0417196364e+00;1.0440840100e+00;1.0516429831e+00;1.0444789311e+00;1.0544358839e+00;1.0259846379e+00;1.0419459213e+00;1.0446072232e+00;1.0529860903e+00;1.0521907364e+00;1.0411004447e+00;1.0444066393e+00;1.0506132809e+00;1.0527865164e+00
3.0000000000e-06;1.0430035369e+00;1.0395867725e+00;1.0314037414e+00;1.0361243150e+00;1.0454909387e+00;1.0433725865e+00;1.0529831063e+00;1.0450618069e+00;1.0571440415e+00;1.0278802725e+00;1.0423421968e+00;1.0472771726e+00;1.0534792813e+00;1.0520974159e+00;1.0431043480e+00;1.0474390390e+00;1.0520839785e+00;1.0510213575e+00
