;03_DM100_1_1_1_1;03_DM100_1_2_1_1;03_DM100_1_3_1_1;03_DM100_1_4_1_1;03_DM100_1_5_1_1;03_DM100_1_6_1_1;03_DM100_1_7_1_1;03_DM100_1_9_1_1;03_DM100_1_10_1_1;03_DM100_1_11_1_1;03_DM100_1_12_1_1;03_DM100_1_13_1_1;03_DM100_1_14_1_1;03_DM100_1_15_1_1;03_DM100_1_16_1_1;03_DM100_1_17_1_1;03_DM100_1_18_1_1;03_DM100_1_19_1_1;03_DM100_1_20_1_1
2.0000000000e-07;9.4383809189e-01;9.4349264226e-01;9.4447751406e-01;9.4318488631e-01;9.4402281989e-01;9.4423896462e-01;9.4412762489e-01;9.4349643098e-01;9.4425013928e-01;9.4428991451e-01;9.4476264483e-01;9.4458404743e-01;9.4477117599e-01;9.4453689185e-01;9.4425196608e-01;9.4420105374e-01;9.4472772670e-01;9.4445613565e-01;9.4379008605e-01
4.0000000000e-07;1.0285490874e+00;1.0282866757e+00;1.0285314993e+00;1.0284827500e+00;1.0280543654e+00;1.0279650800e+00;1.0285079592e+00;1.0283098890e+00;1.0283868731e+00;1.0287606712e+00;1.0287178789e+00;1.0286669821e+00;1.0289858671e+00;1.0288455224e+00;1.0289420243e+00;1.0289927061e+00;1.0287605833e+00;1.0289067291e+00;1.0290300811e+00
6.0000000000e-07;1.0269454558e+00;1.0281908826e+00;1.0286022435e+00;1.0282099975e+00;1.0274095826e+00;1.0282704368e+00;1.0289469874e+00;1.0282422419e+00;1.0287913637e+00;1.0290927147e+00;1.0282399368e+00;1.0284521204e+00;1.0279798656e+00;1.0286450900e+00;1.0288951985e+00;1.0287549118e+00;1.0285272351e+00;1.0287588060e+00;1.0283681381e+00
8.0000000000e-07;1.0264443461e+00;1.0270126836e+00;1.0271661459e+00;1.0274494924e+00;1.0266996675e+00;1.0270987142e+00;1.0275947508e+00;1.0273830074e+00;1.0274066007e+00;1.0276783425e+00;1.0273274781e+00;1.0279905995e+00;1.0268628453e+00;1.0274161967e+00;1.0275154662e+00;1.0275889405e+00;1.0274551765e+00;1.0275220788e+00;1.0276932991e+00
1.0000000000e-06;1.0286032031e+00;1.0283557909e+00;1.0284867465e+00;1.0290046338e+00;1.0288502034e+00;1.0284592813e+00;1.0296022160e+00;1.0291100717e+00;1.0288786404e+00;1.0292691291e+00;1.0287778960e+00;1.0286952732e+00;1.0290623103e+00;1.0294897488e+00;1.0289855907e+00;1.0292086489e+00;1.0284736837e+00;1.0287426893e+00;1.0291886003e+00
1.2000000000e-06;1.0266670075e+00;1.0266437385e+00;1.0271400194e+00;1.0271377419e+00;1.0267271805e+00;1.0271832908e+00;1.0272341759e+00;1.0271973018e+00;1.0270275463e+00;1.0273741280e+00;1.0265111558e+00;1.0272895639e+00;1.0275845362e+00;1.0270357020e+00;1.0273444457e+00;1.0269876475e+00;1.0267900462e+00;1.0270108217e+00;1.0269537132e+00
1.4000000000e-06;1.0271533146e+00;1.0272409049e+00;1.0272003502e+00;1.0276019308e+00;1.0278133115e+00;1.0275641642e+00;1.0283287389e+00;1.0277754318e+00;1.0275907718e+00;1.0278685436e+00;1.0272153210e+00;1.0282898759e+00;1.0283718517e+00;1.0279515314e+00;1.0272055813e+00;1.0276960818e+00;1.0273015682e+00;1.0281489470e+00;1.0279741831e+00
1.6000000000e-06;1.0275185999e+00;1.0277390540e+00;1.0277221312e+00;1.0273972184e+00;1.0268332121e+00;1.0266879160e+00;1.0277808282e+00;1.0275529136e+00;1.0277477290e+00;1.0275374701e+00;1.0275427855e+00;1.0283126288e+00;1.0281806083e+00;1.0281925603e+00;1.0277721157e+00;1.0278811856e+00;1.0280904268e+00;1.0275157361e+00;1.0275897475e+00
1.8000000000e-06;1.0267713119e+00;1.0269952064e+00;1.0262719224e+00;1.0270302035e+00;1.0264494820e+00;1.0264386132e+00;1.0264744488e+00;1.0258201257e+00;1.0268323805e+00;1.0265409861e+00;1.0261190923e+00;1.0263456179e+00;1.0266149401e+00;1.0263197818e+00;1.0269717969e+00;1.0271558358e+00;1.0266413079e+00;1.0267234465e+00;1.0266857201e+00
2.0000000000e-06;1.0276644499e+00;1.0277022452e+00;1.0286706785e+00;1.0279109200e+00;1.0279020228e+00;1.0284516785e+00;1.0280202445e+00;1.0284801534e+00;1.0285292866e+00;1.0284146787e+00;1.0286440815e+00;1.0280941688e+00;1.0282738788e+00;1.0276325663e+00;1.0282408551e+00;1.0289677111e+00;1.0280984547e+00;1.0280242181e+00;1.0278742613e+00
