;03_DM100_2_1_1_1;03_DM100_2_2_1_1;03_DM100_2_3_1_1;03_DM100_2_4_1_1;03_DM100_2_5_1_1;03_DM100_2_6_1_1;03_DM100_2_7_1_1;03_DM100_2_8_1_1;03_DM100_2_9_1_1;03_DM100_2_10_1_1;03_DM100_2_11_1_1;03_DM100_2_12_1_1;03_DM100_2_13_1_1;03_DM100_2_14_1_1;03_DM100_2_15_1_1;03_DM100_2_16_1_1;03_DM100_2_17_1_1;03_DM100_2_18_1_1
2.0000000000e-07;9.4301789471e-01;9.4372694145e-01;9.4434360800e-01;9.4456269122e-01;9.4373639533e-01;9.4394181487e-01;9.4458522966e-01;9.4399190878e-01;9.4462120690e-01;9.4526358888e-01;9.4429517109e-01;9.4391468871e-01;9.4388418436e-01;9.4392721812e-01;9.4441759043e-01;9.4461114528e-01;9.4435030878e-01;9.4462786308e-01
4.0000000000e-07;1.0281776293e+00;1.0284407114e+00;1.0283398265e+00;1.0284675640e+00;1.0281633590e+00;1.0288912343e+00;1.0291258281e+00;1.0288700842e+00;1.0288509928e+00;1.0290286526e+00;1.0288922989e+00;1.0281580661e+00;1.0280997761e+00;1.0287114661e+00;1.0286983008e+00;1.0286669385e+00;1.0283221255e+00;1.0278402180e+00
6.0000000000e-07;1.0276020608e+00;1.0276897604e+00;1.0280768593e+00;1.0288068833e+00;1.0273150541e+00;1.0283321403e+00;1.0283484530e+00;1.0283879425e+00;1.0286850978e+00;1.0292645969e+00;1.0286900318e+00;1.0281144114e+00;1.0281954400e+00;1.0281136363e+00;1.0280941171e+00;1.0279168543e+00;1.0287514894e+00;1.0277670697e+00
8.0000000000e-07;1.0266333234e+00;1.0273485352e+00;1.0268137865e+00;1.0264235771e+00;1.0271472796e+00;1.0265308398e+00;1.0274618304e+00;1.0275777699e+00;1.0278204073e+00;1.0276035291e+00;1.0271559698e+00;1.0276095135e+00;1.0268733417e+00;1.0273842641e+00;1.0278526292e+00;1.0276794001e+00;1.0274255118e+00;1.0271264310e+00
1.0000000000e-06;1.0279719945e+00;1.0285301152e+00;1.0281306653e+00;1.0288538747e+00;1.0281630843e+00;1.0288470079e+00;1.0297419456e+00;1.0286769551e+00;1.0296191408e+00;1.0292429346e+00;1.0290441056e+00;1.0290310446e+00;1.0292261568e+00;1.0287929192e+00;1.0288911835e+00;1.0287217869e+00;1.0290149699e+00;1.0279395791e+00
1.2000000000e-06;1.0268570851e+00;1.0268651098e+00;1.0273012426e+00;1.0268371684e+00;1.0267020747e+00;1.0270650698e+00;1.0261607647e+00;1.0269320859e+00;1.0275408445e+00;1.0271995627e+00;1.0271038902e+00;1.0269565872e+00;1.0266463079e+00;1.0267102748e+00;1.0274310818e+00;1.0270449321e+00;1.0273949445e+00;1.0264617824e+00
1.4000000000e-06;1.0274848788e+00;1.0273178130e+00;1.0277314677e+00;1.0275003356e+00;1.0275864272e+00;1.0277889281e+00;1.0275312306e+00;1.0267787745e+00;1.0279802444e+00;1.0284059343e+00;1.0279762432e+00;1.0276514613e+00;1.0280695917e+00;1.0276616985e+00;1.0272389950e+00;1.0271219335e+00;1.0274343125e+00;1.0269286616e+00
1.6000000000e-06;1.0269810588e+00;1.0273557056e+00;1.0273989985e+00;1.0280327226e+00;1.0278494206e+00;1.0283678852e+00;1.0278764015e+00;1.0279125218e+00;1.0282650589e+00;1.0277279207e+00;1.0280201906e+00;1.0272421135e+00;1.0273736209e+00;1.0281564300e+00;1.0273998185e+00;1.0274373597e+00;1.0272864160e+00;1.0272117721e+00
1.8000000000e-06;1.0253741045e+00;1.0259331910e+00;1.0259095362e+00;1.0267933427e+00;1.0260859853e+00;1.0266359572e+00;1.0268322257e+00;1.0265644555e+00;1.0276134041e+00;1.0267589218e+00;1.0264209652e+00;1.0263535870e+00;1.0257218734e+00;1.0267228223e+00;1.0265276698e+00;1.0265318426e+00;1.0269268428e+00;1.0266198327e+00
2.0000000000e-06;1.0278270814e+00;1.0272215919e+00;1.0274118590e+00;1.0288218671e+00;1.0275181663e+00;1.0281110896e+00;1.0287526080e+00;1.0283763254e+00;1.0286998487e+00;1.0290637400e+00;1.0286162963e+00;1.0285390099e+00;1.0279747612e+00;1.0284272241e+00;1.0276645528e+00;1.0274107650e+00;1.0275492665e+00;1.0281263649e+00
