;03_DM100_3_1_1_1;03_DM100_3_2_1_1;03_DM100_3_3_1_1;03_DM100_3_4_1_1;03_DM100_3_5_1_1;03_DM100_3_6_1_1;03_DM100_3_7_1_1;03_DM100_3_8_1_1;03_DM100_3_9_1_1;03_DM100_3_10_1_1;03_DM100_3_11_1_1;03_DM100_3_12_1_1;03_DM100_3_13_1_1;03_DM100_3_14_1_1;03_DM100_3_15_1_1;03_DM100_3_16_1_1;03_DM100_3_17_1_1;03_DM100_3_18_1_1;03_DM100_3_19_1_1;03_DM100_3_20_1_1
2.0000000000e-07;9.4390577527e-01;9.4436924039e-01;9.4370090766e-01;9.4383641548e-01;9.4433308607e-01;9.4377477142e-01;9.4383623789e-01;9.4386388543e-01;9.4469396564e-01;9.4376770604e-01;9.4429395548e-01;9.4390028245e-01;9.4488851553e-01;9.4451455838e-01;9.4408671974e-01;9.4367397156e-01;9.4377760383e-01;9.4416749147e-01;9.4510697622e-01;9.4321239878e-01
4.0000000000e-07;1.0271288378e+00;1.0282268978e+00;1.0279074619e+00;1.0279094212e+00;1.0284213032e+00;1.0278736362e+00;1.0286157662e+00;1.0278608654e+00;1.0279484727e+00;1.0275016410e+00;1.0276728838e+00;1.0279250195e+00;1.0282506715e+00;1.0281469864e+00;1.0284684479e+00;1.0287514037e+00;1.0283798939e+00;1.0290345637e+00;1.0280356292e+00;1.0284348974e+00
6.0000000000e-07;1.0280112950e+00;1.0278476021e+00;1.0283361085e+00;1.0280559690e+00;1.0280390991e+00;1.0283475121e+00;1.0279978797e+00;1.0280699483e+00;1.0275364923e+00;1.0278531296e+00;1.0273922653e+00;1.0284892898e+00;1.0280960566e+00;1.0278726359e+00;1.0276752849e+00;1.0279453933e+00;1.0279267775e+00;1.0279431121e+00;1.0280311522e+00;1.0279524011e+00
8.0000000000e-07;1.0269403896e+00;1.0277980059e+00;1.0266187241e+00;1.0272696757e+00;1.0266109053e+00;1.0266128957e+00;1.0268308337e+00;1.0267164721e+00;1.0274895382e+00;1.0266656553e+00;1.0272022332e+00;1.0276162158e+00;1.0274557335e+00;1.0276721106e+00;1.0273893247e+00;1.0266714014e+00;1.0269551807e+00;1.0277362026e+00;1.0269171833e+00;1.0271564993e+00
1.0000000000e-06;1.0284859061e+00;1.0288492712e+00;1.0284242179e+00;1.0281768031e+00;1.0290921830e+00;1.0281766104e+00;1.0280380391e+00;1.0287262829e+00;1.0293145702e+00;1.0284436183e+00;1.0284965526e+00;1.0284627822e+00;1.0287406743e+00;1.0284846582e+00;1.0286539189e+00;1.0282086020e+00;1.0288927531e+00;1.0286868971e+00;1.0285853266e+00;1.0290984398e+00
1.2000000000e-06;1.0263020472e+00;1.0269083824e+00;1.0269923282e+00;1.0260050325e+00;1.0272993866e+00;1.0259191027e+00;1.0267634279e+00;1.0265068959e+00;1.0270623341e+00;1.0266167625e+00;1.0270609190e+00;1.0273567745e+00;1.0275114444e+00;1.0267646031e+00;1.0272277892e+00;1.0272212295e+00;1.0272971498e+00;1.0268274762e+00;1.0265994753e+00;1.0267524519e+00
1.4000000000e-06;1.0269440886e+00;1.0272057579e+00;1.0266610041e+00;1.0264109767e+00;1.0272570865e+00;1.0279142213e+00;1.0269731508e+00;1.0269098961e+00;1.0271687012e+00;1.0263953771e+00;1.0276915388e+00;1.0271467020e+00;1.0277721316e+00;1.0276408150e+00;1.0273241898e+00;1.0274382224e+00;1.0277801848e+00;1.0275167005e+00;1.0272467391e+00;1.0273051243e+00
1.6000000000e-06;1.0265280117e+00;1.0274106807e+00;1.0270824174e+00;1.0264640531e+00;1.0273510501e+00;1.0273595752e+00;1.0273524632e+00;1.0270042406e+00;1.0272712873e+00;1.0269549675e+00;1.0272020817e+00;1.0275714014e+00;1.0274885971e+00;1.0268754399e+00;1.0277771138e+00;1.0271149437e+00;1.0283298017e+00;1.0272153120e+00;1.0271742785e+00;1.0272676109e+00
1.8000000000e-06;1.0265971571e+00;1.0266370136e+00;1.0261079888e+00;1.0260149690e+00;1.0260285134e+00;1.0260200705e+00;1.0263064976e+00;1.0264754264e+00;1.0266442611e+00;1.0259828804e+00;1.0261710038e+00;1.0260364942e+00;1.0264932296e+00;1.0267074612e+00;1.0262782598e+00;1.0265141057e+00;1.0267418728e+00;1.0261450287e+00;1.0259982009e+00;1.0261868524e+00
2.0000000000e-06;1.0275504239e+00;1.0281821104e+00;1.0273785312e+00;1.0278763596e+00;1.0279360209e+00;1.0275389722e+00;1.0274165918e+00;1.0278486450e+00;1.0281305765e+00;1.0277744360e+00;1.0275130346e+00;1.0279964742e+00;1.0282029545e+00;1.0281212801e+00;1.0277693663e+00;1.0278473733e+00;1.0283858630e+00;1.0283398562e+00;1.0276738485e+00;1.0279595507e+00
2.2000000000e-06;1.0258861618e+00;1.0264841643e+00;1.0259471132e+00;1.0252435079e+00;1.0266152537e+00;1.0259369012e+00;1.0261713830e+00;1.0261139721e+00;1.0266439976e+00;1.0255868143e+00;1.0264467022e+00;1.0260666035e+00;1.0264843367e+00;1.0258574585e+00;1.0257873385e+00;1.0263344792e+00;1.0263981592e+00;1.0264616293e+00;1.0262565538e+00;1.0255384520e+00
2.4000000000e-06;1.0263696881e+00;1.0264719560e+00;1.0264978150e+00;1.0269933451e+00;1.0269767557e+00;1.0263580745e+00;1.0264693424e+00;1.0263718898e+00;1.0267952322e+00;1.0262181479e+00;1.0266501594e+00;1.0269519981e+00;1.0274093497e+00;1.0263348876e+00;1.0272104761e+00;1.0268963617e+00;1.0275931788e+00;1.0268992167e+00;1.0267698612e+00;1.0267351278e+00
2.6000000000e-06;1.0261598641e+00;1.0264891895e+00;1.0266684528e+00;1.0271376233e+00;1.0259773497e+00;1.0263001583e+00;1.0263844156e+00;1.0265556860e+00;1.0268026625e+00;1.0266659452e+00;1.0270094945e+00;1.0269009590e+00;1.0268589696e+00;1.0278348831e+00;1.0277648149e+00;1.0261280224e+00;1.0273927277e+00;1.0267232788e+00;1.0267997440e+00;1.0270758139e+00
2.8000000000e-06;1.0255273330e+00;1.0257860101e+00;1.0254422409e+00;1.0256942990e+00;1.0260345473e+00;1.0258268074e+00;1.0259132867e+00;1.0259140622e+00;1.0258388101e+00;1.0251899212e+00;1.0258796095e+00;1.0261967894e+00;1.0264441692e+00;1.0250871488e+00;1.0258989756e+00;1.0257665957e+00;1.0264258424e+00;1.0259344864e+00;1.0261968858e+00;1.0255296323e+00
3.0000000000e-06;1.0266085168e+00;1.0267848378e+00;1.0278194818e+00;1.0271502439e+00;1.0275230587e+00;1.0272653929e+00;1.0275321492e+00;1.0269821022e+00;1.0273283695e+00;1.0262870659e+00;1.0274356959e+00;1.0273270713e+00;1.0273289988e+00;1.0277802878e+00;1.0274169350e+00;1.0272381500e+00;1.0280547402e+00;1.0276939877e+00;1.0271331705e+00;1.0270236253e+00
3.2000000000e-06;1.0257174770e+00;1.0255510969e+00;1.0250181353e+00;1.0253632523e+00;1.0254999637e+00;1.0255899484e+00;1.0247097582e+00;1.0262042141e+00;1.0261997275e+00;1.0247249502e+00;1.0253294389e+00;1.0261825830e+00;1.0260677047e+00;1.0252527591e+00;1.0257333834e+00;1.0251042375e+00;1.0259911257e+00;1.0256165530e+00;1.0261247381e+00;1.0254343517e+00
3.6000000000e-06;1.0255745712e+00;1.0260088113e+00;1.0257859875e+00;1.0256605764e+00;1.0259473073e+00;1.0262027332e+00;1.0260160682e+00;1.0257265523e+00;1.0257081930e+00;1.0259853425e+00;1.0261210215e+00;1.0259813936e+00;1.0261237474e+00;1.0264365227e+00;1.0255914029e+00;1.0253535963e+00;1.0260949286e+00;1.0259795312e+00;1.0259027151e+00;1.0261395988e+00
4.0000000000e-06;1.0256225583e+00;1.0258735148e+00;1.0261180786e+00;1.0261756727e+00;1.0263557736e+00;1.0261223896e+00;1.0259616895e+00;1.0258094324e+00;1.0261452823e+00;1.0256444635e+00;1.0259657630e+00;1.0260206822e+00;1.0262407612e+00;1.0259155260e+00;1.0260235703e+00;1.0259903379e+00;1.0262298458e+00;1.0261752787e+00;1.0261416367e+00;1.0255812289e+00
