;04_DM100_14_1_1_1;04_DM100_14_2_1_1;04_DM100_14_3_1_1;04_DM100_14_4_1_1;04_DM100_14_5_1_1;04_DM100_14_6_1_1;04_DM100_14_7_1_1;04_DM100_14_8_1_1;04_DM100_14_9_1_1;04_DM100_14_10_1_1;04_DM100_14_11_1_1;04_DM100_14_12_1_1;04_DM100_14_13_1_1;04_DM100_14_14_1_1;04_DM100_14_15_1_1;04_DM100_14_16_1_1;04_DM100_14_17_1_1;04_DM100_14_18_1_1;04_DM100_14_19_1_1;04_DM100_14_20_1_1
2.0000000000e-07;9.2902523008e-01;9.2929378687e-01;9.2886706476e-01;9.2702428667e-01;9.2782982769e-01;9.2740784111e-01;9.2552416826e-01;9.2458491369e-01;9.2487362768e-01;9.2329688885e-01;9.2303857372e-01;9.2269066506e-01;9.1955881902e-01;9.2032163364e-01;9.2374483540e-01;9.1944558676e-01;9.1697521073e-01;9.1071675154e-01;9.2386095508e-01;9.1851331602e-01
4.0000000000e-07;1.0196305357e+00;1.0209702546e+00;1.0210901206e+00;1.0194651004e+00;1.0199181128e+00;1.0192106001e+00;1.0186058464e+00;1.0190902876e+00;1.0180784272e+00;1.0182159590e+00;1.0163558256e+00;1.0185436422e+00;1.0146788717e+00;1.0160849902e+00;1.0186249027e+00;1.0099183532e+00;1.0098781662e+00;1.0191234586e+00;1.0224411309e+00;1.0282907229e+00
6.0000000000e-07;1.0205133851e+00;1.0206933021e+00;1.0199896498e+00;1.0198236686e+00;1.0191462887e+00;1.0189574940e+00;1.0186894239e+00;1.0174430432e+00;1.0197536353e+00;1.0173115942e+00;1.0172055677e+00;1.0177147276e+00;1.0157565871e+00;1.0111196462e+00;1.0170314065e+00;1.0126426168e+00;1.0143365056e+00;1.0091457010e+00;1.0186096679e+00;1.0269796804e+00
8.0000000000e-07;1.0195691033e+00;1.0202254945e+00;1.0198567221e+00;1.0198989334e+00;1.0202205200e+00;1.0196199402e+00;1.0189459559e+00;1.0185757210e+00;1.0181972726e+00;1.0164884966e+00;1.0186179638e+00;1.0150652356e+00;1.0163854465e+00;1.0136581357e+00;1.0134847614e+00;1.0163358629e+00;1.0132405928e+00;1.0103447375e+00;1.0150176709e+00;1.0067897195e+00
1.0000000000e-06;1.0238780746e+00;1.0232034316e+00;1.0229271525e+00;1.0222140513e+00;1.0215521962e+00;1.0232716369e+00;1.0233483182e+00;1.0228056679e+00;1.0208879451e+00;1.0206352025e+00;1.0191216545e+00;1.0192819215e+00;1.0196186057e+00;1.0142131173e+00;1.0188796419e+00;1.0134368517e+00;1.0130039702e+00;1.0099379128e+00;1.0148181094e+00;1.0247946076e+00
1.2000000000e-06;1.0195604749e+00;1.0201752703e+00;1.0203495335e+00;1.0198767428e+00;1.0194528835e+00;1.0193149536e+00;1.0182651201e+00;1.0189404483e+00;1.0178027875e+00;1.0172011347e+00;1.0179284113e+00;1.0142967207e+00;1.0148541801e+00;1.0157664208e+00;1.0152430820e+00;1.0167965137e+00;1.0072878161e+00;1.0121432891e+00;1.0155764121e+00;1.0072267184e+00
1.4000000000e-06;1.0199365144e+00;1.0212238940e+00;1.0215762887e+00;1.0193790840e+00;1.0190207005e+00;1.0189484088e+00;1.0191511038e+00;1.0195399744e+00;1.0161887182e+00;1.0175126526e+00;1.0174682846e+00;1.0146021014e+00;1.0166355707e+00;1.0142098204e+00;1.0128053858e+00;1.0186949885e+00;1.0167026410e+00;1.0164041679e+00;1.0156966513e+00;1.0340592494e+00
1.6000000000e-06;1.0212862031e+00;1.0213549076e+00;1.0201075244e+00;1.0201941489e+00;1.0188289612e+00;1.0191444975e+00;1.0188515460e+00;1.0183844649e+00;1.0161826827e+00;1.0168198737e+00;1.0171915288e+00;1.0166491960e+00;1.0163667182e+00;1.0157204325e+00;1.0131700337e+00;1.0137388752e+00;1.0140998570e+00;1.0232986592e+00;1.0155370008e+00;1.0125590106e+00
1.8000000000e-06;1.0200999117e+00;1.0196966757e+00;1.0209522966e+00;1.0195664561e+00;1.0178860241e+00;1.0190236417e+00;1.0181404979e+00;1.0193790033e+00;1.0160974082e+00;1.0193068529e+00;1.0165276162e+00;1.0166357659e+00;1.0165467217e+00;1.0140456097e+00;1.0155977264e+00;1.0121980278e+00;1.0087573072e+00;1.0074113316e+00;1.0054400222e+00;1.0189393795e+00
2.0000000000e-06;1.0241115898e+00;1.0234792477e+00;1.0220037370e+00;1.0227511024e+00;1.0232659951e+00;1.0231347941e+00;1.0219525638e+00;1.0224084084e+00;1.0217733219e+00;1.0198850940e+00;1.0192896131e+00;1.0193104144e+00;1.0175472900e+00;1.0190372126e+00;1.0266322622e+00;1.0213398146e+00;1.0180849579e+00;1.0100449376e+00;1.0062382358e+00;1.0243583222e+00
2.2000000000e-06;1.0197401504e+00;1.0193778215e+00;1.0202038275e+00;1.0200509059e+00;1.0183885523e+00;1.0185579026e+00;1.0174769568e+00;1.0185756757e+00;1.0177097355e+00;1.0175992690e+00;1.0173773518e+00;1.0162246548e+00;1.0168482839e+00;1.0158386354e+00;1.0178355925e+00;1.0124680591e+00;1.0136515122e+00;1.0139846442e+00;1.0146195409e+00;1.0321371298e+00
2.4000000000e-06;1.0197991859e+00;1.0205473181e+00;1.0206666706e+00;1.0183909543e+00;1.0192823655e+00;1.0186815958e+00;1.0178067855e+00;1.0175545441e+00;1.0178018874e+00;1.0165115320e+00;1.0163199659e+00;1.0143017157e+00;1.0165630668e+00;1.0147023810e+00;1.0154128821e+00;1.0174797569e+00;1.0139752962e+00;1.0122074845e+00;1.0114266538e+00;1.0245331141e+00
2.6000000000e-06;1.0192745380e+00;1.0198728076e+00;1.0198607462e+00;1.0183091096e+00;1.0194426159e+00;1.0185322377e+00;1.0187120579e+00;1.0174748666e+00;1.0171662467e+00;1.0183337869e+00;1.0160892584e+00;1.0169629406e+00;1.0172410199e+00;1.0130078544e+00;1.0155127809e+00;1.0157006350e+00;1.0159678467e+00;1.0084818797e+00;1.0208057341e+00;1.0012840677e+00
2.8000000000e-06;1.0210671887e+00;1.0192585505e+00;1.0190323002e+00;1.0176237042e+00;1.0179118980e+00;1.0191496504e+00;1.0192354157e+00;1.0164913904e+00;1.0172644277e+00;1.0155613175e+00;1.0172158417e+00;1.0175956270e+00;1.0153637667e+00;1.0146334050e+00;1.0141990195e+00;1.0170508500e+00;1.0150587361e+00;1.0152907253e+00;1.0134221911e+00;1.0230472604e+00
3.0000000000e-06;1.0232660518e+00;1.0232394570e+00;1.0230459861e+00;1.0226688705e+00;1.0226022478e+00;1.0223544327e+00;1.0217712186e+00;1.0213681240e+00;1.0202556915e+00;1.0206582252e+00;1.0173363124e+00;1.0199128719e+00;1.0191463072e+00;1.0193393040e+00;1.0170263336e+00;1.0173208878e+00;1.0157315040e+00;1.0274524422e+00;1.0057991820e+00;1.0260189358e+00
3.2000000000e-06;1.0200302278e+00;1.0196690143e+00;1.0195454792e+00;1.0190395966e+00;1.0192099655e+00;1.0185955545e+00;1.0189492884e+00;1.0178787195e+00;1.0182317974e+00;1.0168355331e+00;1.0169570229e+00;1.0164143360e+00;1.0178605153e+00;1.0131621807e+00;1.0130750717e+00;1.0125951062e+00;1.0153454396e+00;1.0060623623e+00;1.0171339020e+00;1.0282039895e+00
3.6000000000e-06;1.0197070690e+00;1.0199897256e+00;1.0198652853e+00;1.0186524386e+00;1.0191115241e+00;1.0182598403e+00;1.0183285036e+00;1.0181951553e+00;1.0173718588e+00;1.0171355838e+00;1.0148142379e+00;1.0157977745e+00;1.0157764786e+00;1.0146235271e+00;1.0164748749e+00;1.0136993201e+00;1.0111239829e+00;1.0133212118e+00;1.0200279435e+00;1.0260189165e+00
4.0000000000e-06;1.0211446690e+00;1.0210741184e+00;1.0208394395e+00;1.0209723366e+00;1.0200715015e+00;1.0205337339e+00;1.0202085525e+00;1.0198342587e+00;1.0189019328e+00;1.0189261376e+00;1.0185984539e+00;1.0167894310e+00;1.0176385168e+00;1.0173803933e+00;1.0164848525e+00;1.0159748275e+00;1.0148288807e+00;1.0160832805e+00;1.0109880867e+00;1.0360264796e+00
