;05_DP_3_1_1_1;05_DP_3_2_1_1;05_DP_3_3_1_1;05_DP_3_4_1_1;05_DP_3_5_1_1;05_DP_3_6_1_1;05_DP_3_7_1_1;05_DP_3_8_1_1;05_DP_3_9_1_1;05_DP_3_10_1_1;05_DP_3_11_1_1;05_DP_3_12_1_1;05_DP_3_13_1_1;05_DP_3_14_1_1;05_DP_3_15_1_1;05_DP_3_16_1_1;05_DP_3_17_1_1;05_DP_3_18_1_1;05_DP_3_19_1_1;05_DP_3_20_1_1
2.0000000000e-07;9.7946690188e-01;9.7948112384e-01;9.8146431141e-01;9.8049501797e-01;9.7981639450e-01;9.8192023921e-01;9.8205496533e-01;9.8348089513e-01;9.8360864036e-01;9.8419192450e-01;9.8472668019e-01;9.8736123944e-01;9.8437576705e-01;9.8822344034e-01;9.8625491016e-01;9.8699841766e-01;9.8867670106e-01;9.8896911459e-01;9.8793717206e-01;9.8997791834e-01
4.0000000000e-07;1.0721708255e+00;1.0718240755e+00;1.0733866365e+00;1.0727863722e+00;1.0723866813e+00;1.0752727541e+00;1.0752166609e+00;1.0749500404e+00;1.0767902085e+00;1.0764846369e+00;1.0774307842e+00;1.0795565023e+00;1.0778811101e+00;1.0806894750e+00;1.0806597968e+00;1.0810317062e+00;1.0834637193e+00;1.0809503359e+00;1.0813608111e+00;1.0830039232e+00
6.0000000000e-07;1.0717113568e+00;1.0720920981e+00;1.0713799227e+00;1.0725305813e+00;1.0739037119e+00;1.0754438729e+00;1.0730322472e+00;1.0764985547e+00;1.0743799596e+00;1.0780260366e+00;1.0760606877e+00;1.0800098029e+00;1.0779190806e+00;1.0805728528e+00;1.0799834257e+00;1.0786877670e+00;1.0799710866e+00;1.0813523766e+00;1.0825675700e+00;1.0804732460e+00
8.0000000000e-07;1.0697251246e+00;1.0706153353e+00;1.0711299202e+00;1.0723067969e+00;1.0716925898e+00;1.0718766905e+00;1.0742274309e+00;1.0748484466e+00;1.0745610700e+00;1.0737708467e+00;1.0763717976e+00;1.0786899001e+00;1.0770154035e+00;1.0778800727e+00;1.0792203490e+00;1.0786115060e+00;1.0790594023e+00;1.0789493966e+00;1.0794731996e+00;1.0803890713e+00
1.0000000000e-06;1.0705472770e+00;1.0722286989e+00;1.0723574414e+00;1.0710695183e+00;1.0744106726e+00;1.0756695061e+00;1.0753161171e+00;1.0758147386e+00;1.0753748590e+00;1.0760521359e+00;1.0767410835e+00;1.0784671560e+00;1.0783083289e+00;1.0796514723e+00;1.0799531486e+00;1.0797235518e+00;1.0821163617e+00;1.0827195097e+00;1.0820332792e+00;1.0817254765e+00
1.2000000000e-06;1.0687001021e+00;1.0707801496e+00;1.0695139132e+00;1.0715522012e+00;1.0727996883e+00;1.0733243110e+00;1.0731719085e+00;1.0744149853e+00;1.0738554410e+00;1.0759416707e+00;1.0747782648e+00;1.0767478907e+00;1.0775997135e+00;1.0785251360e+00;1.0771743199e+00;1.0782810555e+00;1.0798555036e+00;1.0799172748e+00;1.0784965373e+00;1.0791405573e+00
1.4000000000e-06;1.0698807184e+00;1.0708833457e+00;1.0708125411e+00;1.0721861063e+00;1.0697027224e+00;1.0721777680e+00;1.0727651209e+00;1.0732199950e+00;1.0746389807e+00;1.0737251009e+00;1.0761061925e+00;1.0767905181e+00;1.0778888476e+00;1.0788952980e+00;1.0767806621e+00;1.0784934741e+00;1.0792501578e+00;1.0787678989e+00;1.0805631511e+00;1.0793060829e+00
1.6000000000e-06;1.0684471315e+00;1.0712404637e+00;1.0700221974e+00;1.0687500668e+00;1.0711304699e+00;1.0745595811e+00;1.0723789021e+00;1.0736215163e+00;1.0756469987e+00;1.0752204760e+00;1.0736552000e+00;1.0755168046e+00;1.0767478920e+00;1.0785984507e+00;1.0774498638e+00;1.0776428617e+00;1.0797445125e+00;1.0783444408e+00;1.0793183498e+00;1.0804806973e+00
1.8000000000e-06;1.0669620044e+00;1.0671287033e+00;1.0691621736e+00;1.0685262824e+00;1.0698028625e+00;1.0718036861e+00;1.0715968664e+00;1.0719850057e+00;1.0716690590e+00;1.0732155450e+00;1.0735683512e+00;1.0753732369e+00;1.0744926678e+00;1.0766725105e+00;1.0761570700e+00;1.0741968562e+00;1.0778781200e+00;1.0779144680e+00;1.0761785284e+00;1.0764649107e+00
2.0000000000e-06;1.0688012824e+00;1.0691994236e+00;1.0693298298e+00;1.0704073887e+00;1.0721397451e+00;1.0736767199e+00;1.0713966229e+00;1.0720561868e+00;1.0734212117e+00;1.0750490661e+00;1.0757731369e+00;1.0755559456e+00;1.0760653146e+00;1.0765558882e+00;1.0782139705e+00;1.0786042071e+00;1.0802334358e+00;1.0810350562e+00;1.0800882967e+00;1.0814149574e+00
2.2000000000e-06;1.0686593518e+00;1.0677508742e+00;1.0669600971e+00;1.0698239497e+00;1.0701747338e+00;1.0695961625e+00;1.0693169858e+00;1.0711683410e+00;1.0711707714e+00;1.0728214691e+00;1.0752672512e+00;1.0741595522e+00;1.0748069013e+00;1.0758782713e+00;1.0756060223e+00;1.0771281222e+00;1.0782624069e+00;1.0775217940e+00;1.0788666845e+00;1.0773383822e+00
2.4000000000e-06;1.0677404204e+00;1.0679476205e+00;1.0689855110e+00;1.0671340214e+00;1.0707686546e+00;1.0710522738e+00;1.0688897014e+00;1.0710195617e+00;1.0696612613e+00;1.0722248167e+00;1.0728651603e+00;1.0745058341e+00;1.0763760203e+00;1.0749974595e+00;1.0748411563e+00;1.0763909845e+00;1.0775213182e+00;1.0781257888e+00;1.0793648603e+00;1.0757775150e+00
2.6000000000e-06;1.0677131762e+00;1.0676669637e+00;1.0681038512e+00;1.0690685902e+00;1.0698043907e+00;1.0723357045e+00;1.0702874875e+00;1.0716818360e+00;1.0718108870e+00;1.0735695659e+00;1.0721890364e+00;1.0752566988e+00;1.0729374034e+00;1.0748826041e+00;1.0768156711e+00;1.0756556624e+00;1.0770012703e+00;1.0792286194e+00;1.0774151077e+00;1.0763919402e+00
2.8000000000e-06;1.0683869530e+00;1.0681964029e+00;1.0669129938e+00;1.0672662085e+00;1.0703936532e+00;1.0699733968e+00;1.0686477420e+00;1.0687863527e+00;1.0709470944e+00;1.0713260694e+00;1.0724234211e+00;1.0744919008e+00;1.0739325575e+00;1.0749992142e+00;1.0748000664e+00;1.0756384082e+00;1.0774121615e+00;1.0779805930e+00;1.0750573037e+00;1.0766968117e+00
3.0000000000e-06;1.0674680216e+00;1.0678184836e+00;1.0687640092e+00;1.0706641195e+00;1.0694348239e+00;1.0713773928e+00;1.0713786047e+00;1.0704148525e+00;1.0716313973e+00;1.0721871419e+00;1.0735169580e+00;1.0751305264e+00;1.0739912425e+00;1.0758208223e+00;1.0756589366e+00;1.0770482117e+00;1.0777377548e+00;1.0760950619e+00;1.0786683172e+00;1.0776198553e+00
