;06_mNG_2_1_1_1;06_mNG_2_2_1_1;06_mNG_2_3_1_1;06_mNG_2_4_1_1;06_mNG_2_5_1_1;06_mNG_2_6_1_1;06_mNG_2_7_1_1;06_mNG_2_8_1_1;06_mNG_2_9_1_1;06_mNG_2_10_1_1;06_mNG_2_11_1_1;06_mNG_2_12_1_1;06_mNG_2_13_1_1;06_mNG_2_14_1_1;06_mNG_2_15_1_1;06_mNG_2_16_1_1;06_mNG_2_17_1_1;06_mNG_2_18_1_1;06_mNG_2_19_1_1;06_mNG_2_20_1_1
2.0000000000e-07;9.9920220925e-01;1.0012496263e+00;1.0010661263e+00;1.0080626455e+00;1.0115577555e+00;1.0143495972e+00;1.0143470194e+00;1.0175621396e+00;1.0197002151e+00;1.0195577105e+00;1.0206060315e+00;1.0194952767e+00;1.0226290867e+00;1.0252865639e+00;1.0255263812e+00;1.0241870646e+00;1.0217373707e+00;1.0263956125e+00;1.0254651791e+00;1.0273443295e+00
4.0000000000e-07;1.0950507138e+00;1.0969909939e+00;1.1038679269e+00;1.1055602417e+00;1.1092043203e+00;1.1137908179e+00;1.1118150512e+00;1.1176334062e+00;1.1138380074e+00;1.1172402917e+00;1.1185158334e+00;1.1168882408e+00;1.1233797366e+00;1.1197563698e+00;1.1208077565e+00;1.1217123927e+00;1.1243837546e+00;1.1244370192e+00;1.1243956349e+00;1.1246550676e+00
6.0000000000e-07;1.0933044909e+00;1.0954312611e+00;1.1007022829e+00;1.1066313249e+00;1.1048537071e+00;1.1110184735e+00;1.1111677428e+00;1.1150620127e+00;1.1155306537e+00;1.1162764448e+00;1.1170935515e+00;1.1165879758e+00;1.1194664019e+00;1.1212757103e+00;1.1221877155e+00;1.1226885952e+00;1.1241143750e+00;1.1238493591e+00;1.1227456315e+00;1.1303400545e+00
8.0000000000e-07;1.0919406468e+00;1.0930206390e+00;1.0983075984e+00;1.1029772122e+00;1.1056231125e+00;1.1088098261e+00;1.1102742294e+00;1.1121895694e+00;1.1130811188e+00;1.1170238667e+00;1.1150443320e+00;1.1164028787e+00;1.1210428850e+00;1.1212547480e+00;1.1199500436e+00;1.1219714067e+00;1.1239283730e+00;1.1237395717e+00;1.1208241359e+00;1.1228059052e+00
1.0000000000e-06;1.0934433127e+00;1.0933217825e+00;1.1008047397e+00;1.1016513354e+00;1.1073749700e+00;1.1092621491e+00;1.1109576053e+00;1.1139325847e+00;1.1156957788e+00;1.1144289041e+00;1.1184671218e+00;1.1172172745e+00;1.1203589765e+00;1.1206470037e+00;1.1185254895e+00;1.1241933360e+00;1.1217263432e+00;1.1247664657e+00;1.1234546891e+00;1.1257728369e+00
1.2000000000e-06;1.0911336825e+00;1.0927322623e+00;1.0994895672e+00;1.1010663372e+00;1.1034768480e+00;1.1077446527e+00;1.1084853096e+00;1.1117964671e+00;1.1105293505e+00;1.1135151528e+00;1.1123073011e+00;1.1147865197e+00;1.1185965263e+00;1.1143160387e+00;1.1165807948e+00;1.1183997459e+00;1.1164756856e+00;1.1195981150e+00;1.1204105007e+00;1.1210287876e+00
1.4000000000e-06;1.0910506484e+00;1.0944652862e+00;1.1003767465e+00;1.1033209197e+00;1.1041423741e+00;1.1082972906e+00;1.1104199747e+00;1.1102164288e+00;1.1112999830e+00;1.1165970339e+00;1.1123357002e+00;1.1168266310e+00;1.1179849337e+00;1.1198486669e+00;1.1164555306e+00;1.1182617976e+00;1.1188936306e+00;1.1203106132e+00;1.1232905412e+00;1.1249148368e+00
1.6000000000e-06;1.0912480989e+00;1.0942679252e+00;1.0961936313e+00;1.1009658587e+00;1.1060579736e+00;1.1055960785e+00;1.1088165771e+00;1.1109450787e+00;1.1126132078e+00;1.1118800177e+00;1.1136808713e+00;1.1118229910e+00;1.1149042660e+00;1.1180086802e+00;1.1194001575e+00;1.1170395273e+00;1.1201571163e+00;1.1183797430e+00;1.1209685528e+00;1.1221290972e+00
1.8000000000e-06;1.0880372205e+00;1.0914965887e+00;1.0947325615e+00;1.0983811588e+00;1.1037814256e+00;1.1047807862e+00;1.1093314739e+00;1.1072059184e+00;1.1108183223e+00;1.1095154952e+00;1.1106516811e+00;1.1120821129e+00;1.1112058130e+00;1.1165207627e+00;1.1145236864e+00;1.1169801001e+00;1.1174634909e+00;1.1174778061e+00;1.1175501333e+00;1.1201860639e+00
2.0000000000e-06;1.0900788884e+00;1.0936841778e+00;1.0968931308e+00;1.1003340261e+00;1.1009432250e+00;1.1069512296e+00;1.1065960476e+00;1.1094589928e+00;1.1118445237e+00;1.1111886855e+00;1.1153709538e+00;1.1136882881e+00;1.1144145717e+00;1.1162734702e+00;1.1158781692e+00;1.1176528292e+00;1.1194153764e+00;1.1171010988e+00;1.1182241809e+00;1.1211750372e+00
2.2000000000e-06;1.0900747990e+00;1.0918289775e+00;1.0912132781e+00;1.0980929463e+00;1.0999607670e+00;1.1044415277e+00;1.1087010850e+00;1.1091541020e+00;1.1092809656e+00;1.1084995428e+00;1.1105279050e+00;1.1106795206e+00;1.1131356056e+00;1.1137985014e+00;1.1154174674e+00;1.1157789277e+00;1.1167857689e+00;1.1173271139e+00;1.1168083453e+00;1.1182648565e+00
2.4000000000e-06;1.0905947393e+00;1.0898842847e+00;1.0938763789e+00;1.0982387694e+00;1.1031352432e+00;1.1049687406e+00;1.1046405416e+00;1.1092825696e+00;1.1079087516e+00;1.1104753111e+00;1.1105725355e+00;1.1109633214e+00;1.1146501036e+00;1.1121890362e+00;1.1152180157e+00;1.1129394288e+00;1.1156142007e+00;1.1158762690e+00;1.1170643923e+00;1.1185857777e+00
2.6000000000e-06;1.0905484554e+00;1.0898856992e+00;1.0948613737e+00;1.0967050442e+00;1.1019696759e+00;1.1052259056e+00;1.1019032222e+00;1.1061455090e+00;1.1082488489e+00;1.1097419043e+00;1.1123072601e+00;1.1129335094e+00;1.1123257712e+00;1.1151082711e+00;1.1124624444e+00;1.1138158883e+00;1.1149685528e+00;1.1185777514e+00;1.1181870793e+00;1.1206292256e+00
2.8000000000e-06;1.0891928726e+00;1.0890461680e+00;1.0946566326e+00;1.0953809486e+00;1.1001156878e+00;1.1028803552e+00;1.1036107244e+00;1.1027687589e+00;1.1084808209e+00;1.1083513569e+00;1.1101768834e+00;1.1078249841e+00;1.1114352454e+00;1.1101939654e+00;1.1129783332e+00;1.1137670721e+00;1.1153982624e+00;1.1127851521e+00;1.1151735295e+00;1.1174177663e+00
3.0000000000e-06;1.0909010671e+00;1.0900973441e+00;1.0937741955e+00;1.0988691063e+00;1.1006491639e+00;1.1053372618e+00;1.1043603562e+00;1.1067552670e+00;1.1089762255e+00;1.1076419960e+00;1.1091949937e+00;1.1084193269e+00;1.1133629778e+00;1.1121911143e+00;1.1143030936e+00;1.1131770968e+00;1.1165505780e+00;1.1151745103e+00;1.1177581246e+00;1.1171142989e+00
3.2000000000e-06;1.0871824923e+00;1.0897379475e+00;1.0920494518e+00;1.0937466457e+00;1.0979378389e+00;1.1013793776e+00;1.1055946023e+00;1.1047265301e+00;1.1039690358e+00;1.1056862542e+00;1.1088399260e+00;1.1056717437e+00;1.1129249435e+00;1.1100011538e+00;1.1112544268e+00;1.1140832671e+00;1.1135233233e+00;1.1120812466e+00;1.1151539416e+00;1.1178107266e+00
3.6000000000e-06;1.0868258679e+00;1.0883799218e+00;1.0919471733e+00;1.0950970138e+00;1.0996377508e+00;1.1000261304e+00;1.1035710531e+00;1.1038089873e+00;1.1048734525e+00;1.1053187640e+00;1.1076773404e+00;1.1072668287e+00;1.1110654880e+00;1.1116872044e+00;1.1100359123e+00;1.1109679895e+00;1.1129674608e+00;1.1127259328e+00;1.1133759000e+00;1.1129347029e+00
4.0000000000e-06;1.0862134484e+00;1.0872463377e+00;1.0920472024e+00;1.0961622244e+00;1.0993843107e+00;1.1004612300e+00;1.1012852141e+00;1.1034082148e+00;1.1043957235e+00;1.1082132815e+00;1.1076783431e+00;1.1056155077e+00;1.1102618521e+00;1.1093768557e+00;1.1103958713e+00;1.1105827999e+00;1.1123594574e+00;1.1140422240e+00;1.1123801275e+00;1.1135590799e+00
